learning epoch:  1 ...
preds:  ['e', 'e', 'progression of', '-', 'joint ', 'enablement', 'e', 'e', 'enablement', 'is ', 'e', 'joint venture', 'e', 'b', 'b', 'e']  | target:  ['elab-addition', 'elab-addition', 'progression', 'manner-means', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'enablement', 'attribution', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition']
preds:  ['e', 'temporal', 'joint joint', 'e', 'joint', 'b', 'e', 'e', '', '-', 'joint venture', 'b', 'e', ',', 's', 'evaluation']  | target:  ['elab-aspect', 'temporal', 'joint', 'elab-aspect', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'attribution', 'manner-means', 'joint', 'bg-general', 'elab-aspect', 'joint', 'joint', 'evaluation']
preds:  ['enable the', 'cot', 'joint joint', 'g', 'e', 'e', 'a', 'e', 'i', 'e', 'e', 'b', 'enablement', 'e', 'e', ',']  | target:  ['enablement', 'attribution', 'joint', 'bg-goal', 'elab-addition', 'elab-addition', 'evaluation', 'elab-addition', 'evaluation', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'elab-addition', 'elab-process_step', 'joint']
preds:  ['-', 'e', 'e', '-', 'e', 'temporal', 'b', 'enablement', 'joint ', 'e', 'e', 'e', '-', 'a', 'joint joint', 'b']  | target:  ['elab-aspect', 'elab-addition', 'elab-addition', 'exp-reason', 'elab-addition', 'temporal', 'bg-general', 'enablement', 'joint', 'elab-addition', 'elab-addition', 'elab-process_step', 'bg-general', 'summary', 'joint', 'bg-general']
preds:  ['e', 'e', 'joint venture', 'joint joint', 'joint ', 'e', 'e', 'e', 'e', 'manner-', 'e', 'Jointly', 'b', 'e', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'joint', 'joint', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-enumember', 'manner-means', 'elab-addition', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'bg-general']
preds:  ['e', 'Allowance', 'e', 'g', 'e', 'a', 's', '-', 'joint ', 'a', 'e', 'e', 'together with', 'e', 'en', 'b']  | target:  ['elab-addition', 'enablement', 'elab-addition', 'bg-goal', 'elab-addition', 'evaluation', 'joint', 'joint', 'joint', 'joint', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'bg-general']
preds:  ['e', 'e', 'attribution', 'e', 'joint joint', 'a', 'progression in', 'e', 'e', 'e', 'e', 'joints are', 'joint joint', 'manner-', 'exp-', 'joint ']  | target:  ['elab-addition', 'elab-aspect', 'attribution', 'elab-addition', 'joint', 'attribution', 'progression', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-process_step', 'joint', 'joint', 'manner-means', 'exp-reason', 'joint']
preds:  ['a', 'e', 'e', 'e', 'jointers', 'g', 'is ', 'e', 'Then', 'b', 'Joint Joint', 'a', 'joint', 'e', ',', 'A.']  | target:  ['attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'bg-goal', 'attribution', 'elab-addition', 'attribution', 'bg-general', 'joint', 'result', 'joint', 'elab-addition', 'comparison', 'attribution']
preds:  ['joint', 'enablement', 'b', 'b', 'joints', 'e', 'the result', 'evaluations', 'a', 'g', '', 'e', 'progression:', 'evaluation', 'joint ', 'e']  | target:  ['joint', 'enablement', 'bg-general', 'bg-general', 'joint', 'elab-addition', 'result', 'evaluation', 'enablement', 'bg-general', 'attribution', 'elab-addition', 'progression', 'evaluation', 'joint', 'elab-addition']
preds:  ['e', 'DG', 'joint ', 'e', 'evaluations', 'enabler', 'joint joint', 'e', 'joint', 'joint:', 'b', 'b', 'joint joint', 'enablement', 'e', 'Joint Joint']  | target:  ['elab-addition', 'bg-general', 'joint', 'elab-addition', 'evaluation', 'enablement', 'joint', 'elab-addition', 'joint', 'joint', 'bg-general', 'bg-goal', 'joint', 'enablement', 'elab-addition', 'joint']
preds:  ['Joints', 'joint', 'e', 'b', 'e', 'b', 'e', 'e', 'e', 'evaluations', 'enablement', 'e', 'i', 'b', 'b', 'enablement']  | target:  ['joint', 'joint', 'elab-addition', 'bg-general', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'evaluation', 'enablement', 'elab-process_step', 'contrast', 'bg-general', 'bg-general', 'enablement']
preds:  ['e', 'e', 'joint', 'joint ', 'e', 'b', 'e', 'e', 'e', 'enablement', 'a', 'e', 'is ', 'enablement', 'e', 'e']  | target:  ['elab-addition', 'elab-addition', 'joint', 'joint', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'evaluation', 'enablement', 'elab-addition', 'elab-addition', 'attribution', 'enablement', 'elab-addition', 'elab-addition']
preds:  ['e', 'co-', 'joint of', 'e', 'b', 'b', 'b', 'e', 'manner-', 'e', 'rea', 'joint', 'evaluation', 'b', 'e', 'Stole']  | target:  ['elab-addition', 'joint', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'bg-general', 'elab-addition', 'manner-means', 'elab-addition', 'exp-reason', 'joint', 'evaluation', 'bg-general', 'elab-addition', 'joint']
preds:  ['e', 'co-', 'e', 'e', 'e', 'a', 'e', 'e', 'e', 'b', 'e', 'attribution', 'evaluation', 'b', 'e', '-']  | target:  ['elab-addition', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'bg-general']
preds:  ['enablement', 'e', 'e', 'e', 'joint,', 'e', 'evaluations', 'b', 'b', '', 'e', 'e', 'Joints', 'Joint', 'g', 'a']  | target:  ['enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'evaluation', 'bg-general', 'bg-general', 'attribution', 'elab-addition', 'elab-addition', 'joint', 'joint', 'bg-goal', 'attribution']
preds:  ['a', 'Joints', 'joint', 'evaluation of', 'e', 'joint venture', 'enablement', 'e', 'enablement', 'joint ', 'e', 'joint', 'e', 'enablement', 'e', 'joint venture']  | target:  ['attribution', 'joint', 'joint', 'evaluation', 'elab-addition', 'joint', 'enablement', 'elab-addition', 'enablement', 'joint', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'elab-addition', 'joint']
preds:  ['ability of', 'jointness', 'joint joint', 'e', 'e', 'e', 'a', 'e', 'contrasts', 'evaluation of', 'GB', 'e', 'e', 'enablement', 'enablement', 'joint']  | target:  ['enablement', 'joint', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'attribution', 'elab-addition', 'contrast', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition', 'enablement', 'enablement', 'joint']
preds:  ['enablement', 'enablement', 'joints are', 'a', 'b', 'joint is', '', '-', 'enablement', 'e', 'joint joint', 'ROOT', 'enablement', 'a', 'e', '-']  | target:  ['enablement', 'enablement', 'joint', 'result', 'bg-general', 'joint', 'joint', 'elab-addition', 'enablement', 'elab-addition', 'joint', 'ROOT', 'enablement', 'joint', 'elab-addition', 'joint']
preds:  ['g-', 'to be', 'e', 'e', 'Allowance', 'a', 'evaluation', 'evaluation', 'co-', 'e', 'comparisons', 'en', 'brothers and', 'GB', 'enablement', 'a']  | target:  ['bg-general', 'enablement', 'elab-process_step', 'elab-addition', 'enablement', 'joint', 'evaluation', 'evaluation', 'joint', 'elab-addition', 'comparison', 'enablement', 'joint', 'bg-goal', 'enablement', 'attribution']
preds:  ['enablement', 'manners', 'evaluation of', 'g', 'e', 'enablement', 'result:', 'joint', 'evaluation', 'e', 'a', 'e', 'co-', 'e', '-', 'b']  | target:  ['enablement', 'manner-means', 'evaluation', 'bg-goal', 'elab-addition', 'enablement', 'result', 'joint', 'evaluation', 'elab-addition', 'joint', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'bg-general']
preds:  ['Aspect', 'e', 'e', 'joint', 'joint', 'enablement', 'joint ', 'e', '-', 'result in', 'e', 'a', '', 'enablement', 'review of', 'e']  | target:  ['elab-aspect', 'elab-addition', 'elab-addition', 'joint', 'joint', 'enablement', 'joint', 'elab-addition', 'bg-goal', 'result', 'elab-addition', 'contrast', 'joint', 'enablement', 'evaluation', 'elab-addition']
preds:  ['e', 'joint ', 'a', 'joint is', 'e', 'enablement', 'e', '-', 'e', 'b', 'e', 'evaluation', 'e', 'e', 'e', 'evaluation of']  | target:  ['elab-addition', 'joint', 'result', 'joint', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'evaluation']
preds:  ['Evaluations', 'Joint joint', 'e', 's', 'joint is', 'joint', 'between the', 'e', 'enablement', '', 'b', 'joint joint', 'co-', 'b', 'comparison:', 'comparing']  | target:  ['evaluation', 'joint', 'elab-enumember', 'joint', 'joint', 'joint', 'comparison', 'elab-process_step', 'enablement', 'attribution', 'bg-general', 'joint', 'joint', 'bg-general', 'comparison', 'comparison']
preds:  ['evaluations', 'enablement', 'ex-', 'e', 'temporal', 'e', 'e', '-', 'e', 'e', 'e', 'b', 'enablement', 'e', 'b', 'b']  | target:  ['evaluation', 'enablement', 'exp-reason', 'elab-enumember', 'temporal', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'elab-addition', 'bg-general', 'bg-general']
preds:  ['joint', 'b', 'e', 'evaluation is', 'joint joint', 'b', 'e', 'a', 'e', 'e', 'e', 'enablement', 'progression', 'e', '-', 'b']  | target:  ['joint', 'bg-general', 'elab-addition', 'evaluation', 'joint', 'bg-general', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'progression', 'elab-addition', 'elab-addition', 'bg-general']
preds:  ['evaluation of', 'e', 'e', 'a', 'comparison of', 'a', 'evaluation of', 'b', 'joint joint', 'b', 'comparison:', 'enablement', 'Joint Joint', 'joint', 'e', 'a']  | target:  ['evaluation', 'elab-process_step', 'elab-process_step', 'contrast', 'comparison', 'evaluation', 'evaluation', 'bg-general', 'joint', 'bg-general', 'comparison', 'enablement', 'joint', 'joint', 'elab-process_step', 'joint']
preds:  ['b', 'joint']  | target:  ['bg-goal', 'joint']
preds:  ['b', 'e', 'e', 'e', 'b', 'manner-', 'e', 'attribution', 'evaluation', 'e', 'enablement', 'manner-', 'e', 'manner-', 'e', 'enablement']  | target:  ['bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'manner-means', 'elab-addition', 'attribution', 'evaluation', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'manner-means', 'elab-addition', 'enablement']
preds:  ['e', 'e', 'e', 'joint', 'evaluation', 'b', 'e', 'temporal', 'e', 'joint', 'e', 'e', 'results in', 'b', 'e', 'e']  | target:  ['elab-aspect', 'elab-aspect', 'elab-addition', 'joint', 'evaluation', 'bg-general', 'elab-addition', 'temporal', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'result', 'bg-goal', 'elab-addition', 'elab-addition']
preds:  ['enablement', 'e', 'progression of', 'b', 'enablement', 'e', 'joint', 'e', 'enablement', 'attribution', 'evaluation', 'joint', 'e', 'joint', 'results in', 'b']  | target:  ['enablement', 'elab-addition', 'progression', 'bg-general', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'attribution', 'evaluation', 'joint', 'elab-addition', 'joint', 'result', 'bg-general']
preds:  ['e', 'e', 'enablement', 'e', 'b', 'e', 'e', 'contrasts', 'results in', 'b', 'e', 'e', 'enablement', 'e', 'e', 'attribution']  | target:  ['elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'contrast', 'result', 'bg-general', 'elab-process_step', 'elab-process_step', 'enablement', 'elab-process_step', 'elab-addition', 'attribution']
preds:  ['evaluation', 'b', 'e', 'b', 'manner-', 'e', 'enablement', 'e', 'enablement', 'enablement', 'e', 'enablement', 'attribution', 'evaluation', 'b', 'joint']  | target:  ['evaluation', 'bg-general', 'elab-addition', 'bg-general', 'manner-means', 'elab-process_step', 'enablement', 'elab-process_step', 'enablement', 'enablement', 'elab-process_step', 'enablement', 'attribution', 'evaluation', 'bg-general', 'joint']
preds:  ['e', 'e', 'b', 'b', 'e', 'joint', 'joint', 'joint', 'joint', 'e', 'b', 'e', 'e', 'e', 'e', 'e']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'joint', 'joint', 'joint', 'joint', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['results in', 'joint', 'joint', 'b', 'e', 'enablement', 'manner-', 'e', 'e', 'e', 'enablement', 'attribution', 'evaluation', 'b', 'e', 'e']  | target:  ['result', 'joint', 'joint', 'bg-general', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'elab-process_step', 'elab-process_step', 'enablement', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition']
preds:  ['e', 'e', 'e', 'attribution', 'evaluation', 'e', 'attribution', 'evaluation', 'b', 'e', 'e', 'e', 'enablement', 'attribution', 'evaluation', 'results in']  | target:  ['elab-addition', 'elab-addition', 'elab-enumember', 'attribution', 'evaluation', 'elab-enumember', 'attribution', 'evaluation', 'bg-general', 'elab-enumember', 'elab-addition', 'elab-enumember', 'enablement', 'attribution', 'evaluation', 'result']
preds:  ['enablement', 'comparison of', 'e', 'e', 'joint', 'attribution', 'evaluation', 'e', 'e', 'e', 'e', 'a', 'joint', 'e', 'e', 'joint']  | target:  ['enablement', 'comparison', 'elab-addition', 'elab-addition', 'joint', 'attribution', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'cause', 'joint', 'elab-addition', 'elab-addition', 'joint']
preds:  ['e', 'enablement', 'e', 'e', 'joint', 'e', 'enablement', 'e', 'e', 'enablement', 'b', 'e', 'e', 'e', 'b', 'b']  | target:  ['elab-addition', 'enablement', 'elab-aspect', 'elab-aspect', 'joint', 'elab-aspect', 'enablement', 'elab-addition', 'elab-aspect', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'bg-general']
preds:  ['b', 'joint', 'b', 'e', 'e', 'e', 'e', 'e', 'manner-', 'enablement', 'e', 'progression of', 'evaluation', 'e', 'joint', 'b']  | target:  ['bg-general', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'manner-means', 'enablement', 'elab-addition', 'progression', 'evaluation', 'elab-addition', 'joint', 'bg-general']
preds:  ['progression of', 'e', 'joint', 'enablement', 'b', 'e', 'e', 'enablement', 'joint', 'enablement', 'joint', 'enablement', 'attribution', 'temporal', 'evaluation', 'joint']  | target:  ['progression', 'elab-addition', 'joint', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'enablement', 'joint', 'enablement', 'joint', 'enablement', 'attribution', 'temporal', 'evaluation', 'joint']
preds:  ['e', 'b', 'b', 'e', 'e', 'progression of', 'e', 'e', 'e', 'joint', 'a', 'e', 'enablement', 'enablement', 'enablement', 'enablement']  | target:  ['elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'elab-addition', 'progression', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'cause', 'elab-addition', 'enablement', 'enablement', 'enablement', 'enablement']
preds:  ['joint', 'attribution', 'evaluation', 'b', 'e', 'e', 'b', 'e', 'b', 'joint', 'e', 'attribution', 'evaluation', 'temporal', 'comparison of', 'e']  | target:  ['joint', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'bg-general', 'joint', 'elab-addition', 'attribution', 'evaluation', 'temporal', 'comparison', 'elab-addition']
preds:  ['b', 'e', 'e', 'e', 'e', 'joint', 'joint', 'joint', 'e', 'enablement', 'e', 'attribution', 'manner-', 'evaluation', 'b', 'e']  | target:  ['bg-goal', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-process_step', 'joint', 'joint', 'joint', 'elab-addition', 'enablement', 'elab-addition', 'attribution', 'manner-means', 'evaluation', 'bg-general', 'elab-addition']
preds:  ['e', 'e', 'manner-', 'e', 'attribution', 'e', 'joint', 'joint', 'attribution', 'joint', 'e', 'joint', 'b', 'e', 'enablement', 'joint']  | target:  ['elab-addition', 'elab-addition', 'manner-means', 'elab-enumember', 'attribution', 'elab-addition', 'joint', 'joint', 'attribution', 'joint', 'elab-addition', 'joint', 'bg-general', 'elab-aspect', 'enablement', 'joint']
preds:  ['e', 'e', 'b', 'e', 'exp-', 'e', 'e', 'evaluation', 'b', 'results in', 'e', 'joint', 'joint', 'enablement', 'attribution', 'evaluation']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'elab-aspect', 'exp-reason', 'elab-aspect', 'elab-addition', 'evaluation', 'bg-goal', 'result', 'elab-addition', 'joint', 'joint', 'enablement', 'attribution', 'evaluation']
preds:  ['temporal', 'e', 'joint', 'joint', 'comparison of', 'joint', 'e', 'e', 'joint']  | target:  ['temporal', 'elab-enumember', 'joint', 'joint', 'comparison', 'joint', 'elab-addition', 'elab-addition', 'joint']
val_loss: 4.0750 val_acc: 0.3816 mismatch: 134146 complete_mismatch: 2821829
Epoch 12: Best val_acc: 0.3816
Epoch 12: train_loss: 5.5181 train_acc: 0.1581 | val_loss: 4.0750 val_acc: 0.3816
00:01:10.07
learning epoch:  13 ...
preds:  ['joint venture', 'BG', 'b', 'evaluation', 'enablement', 'e', 'enablement', 'joint', 'enablement', 'e', 'e', 'e', 'progression of', 'e', 'e', 'joint-']  | target:  ['joint', 'bg-goal', 'bg-general', 'evaluation', 'enablement', 'elab-addition', 'enablement', 'joint', 'enablement', 'elab-process_step', 'elab-addition', 'elab-addition', 'progression', 'elab-addition', 'elab-addition', 'joint']
preds:  ['between the', 'b', 'enablement', 'b', 'b', 'co-', 'e', 'GB', 'b', 'e', 'b', 'e', 'e', 'e', 'b', 'enablement']  | target:  ['comparison', 'bg-general', 'enablement', 'bg-goal', 'bg-general', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'bg-general', 'elab-addition', 'elab-process_step', 'elab-addition', 'bg-goal', 'enablement']
preds:  ['e', 'joint joint', 'evaluation of', 'evaluation of', 'b', 'attribution', 'b', 'g', 'joint venture', 'joint and', 'b', '-', 'b', 'o', 'e', 'e']  | target:  ['elab-addition', 'joint', 'evaluation', 'evaluation', 'bg-general', 'attribution', 'bg-general', 'bg-general', 'joint', 'joint', 'bg-general', 'bg-general', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['e', 'e', 'cohe', 'joint.', 'e', 'enablement', 'temporal', 'e', 'e', 'e', 'a', 'b', 'enablement', 'is the', 'e', '-']  | target:  ['elab-addition', 'elab-addition', 'joint', 'joint', 'elab-addition', 'enablement', 'temporal', 'elab-addition', 'elab-process_step', 'elab-enumember', 'contrast', 'bg-general', 'enablement', 'attribution', 'elab-addition', 'bg-general']
preds:  ['e', '', 'b', 'a', 'enablement', 'enablement', 'b', 'e', 'e', 'e', 'e', 'e', 'a', 'evaluation', 'jun', 'temporal']  | target:  ['elab-addition', 'attribution', 'bg-general', 'attribution', 'enablement', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-aspect', 'enablement', 'evaluation', 'joint', 'temporal']
preds:  ['enablement', 'e', 'e', 'e', 'e', 'b', 'evaluation', ',', 'joint joint', 'e', 'Contribution', 'joint venture', 'joint joint', 'b', 'joint,', 'b']  | target:  ['enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-process_step', 'bg-general', 'evaluation', 'comparison', 'joint', 'elab-aspect', 'attribution', 'joint', 'joint', 'bg-general', 'joint', 'bg-general']
preds:  ['contrasts', 'temporal', 'e', 'e', 'e', 'jointity', 'is ', 'co-', 'joint ', 'enablement', 'e', 'e', 'progression of', 'Joint Joint', 'is the', 'joint venture']  | target:  ['contrast', 'temporal', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'attribution', 'joint', 'joint', 'enablement', 'elab-aspect', 'elab-addition', 'progression', 'joint', 'attribution', 'joint']
preds:  ['evaluation', 'a', 'b', 'joint', 'evaluation', 'e', 'e', 'evaluation', 'e', 'evaluation', 'b', 'e', 't', 'joint joint', 'e', 'e']  | target:  ['evaluation', 'attribution', 'bg-general', 'joint', 'evaluation', 'elab-addition', 'elab-addition', 'evaluation', 'elab-addition', 'evaluation', 'bg-general', 'elab-process_step', 'joint', 'joint', 'elab-process_step', 'elab-addition']
preds:  ['e', 'b', 'e', 'with the', 'The ', 'e', 'e', 'enablement', 'e', 'joint venture', 'e', 'e', 'a', 'b', 'joint', 'enablement']  | target:  ['elab-addition', 'bg-general', 'elab-addition', 'contrast', 'attribution', 'elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'cause', 'bg-general', 'joint', 'enablement']
preds:  ['enablement', 'b', 'enablement', 'e', 'e', 'e', 'b', 'a', 'joint joint', 'GB', 'is ', 'enablement', 'joint and', 'joint', 'joint', 'enablence']  | target:  ['enablement', 'bg-general', 'enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'joint', 'bg-general', 'attribution', 'enablement', 'joint', 'joint', 'joint', 'enablement']
preds:  [',', 'enablement', 'e', 'enablement', 'the ', 'e', 'e', 'enablement', 'e', 'joints are', 'b', 'e', 'joints are', 'b', 'evaluation', '-']  | target:  ['result', 'enablement', 'elab-addition', 'enablement', 'attribution', 'elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'joint', 'bg-general', 'elab-addition', 'joint', 'bg-general', 'evaluation', 'bg-general']
preds:  ['comparison of', 'b', '', 'evaluation', 'joint joint', 'e', 'Joint Joint', 'given ', 'g', 'evaluation', 'e', 'enablement', 'b', 'e', 'e', 'Joint']  | target:  ['comparison', 'bg-general', 'attribution', 'evaluation', 'joint', 'elab-addition', 'joint', 'attribution', 'bg-goal', 'evaluation', 'elab-addition', 'enablement', 'bg-goal', 'elab-addition', 'elab-addition', 'joint']
preds:  ['joint', 'manner-', 'e', 'evaluation of', 'joint is', 'g', 'joint venture', 'enablement', 'joint', 'joint venture', 'e', 'contrast the', 'evaluation', 'b', 'exp-', 'e']  | target:  ['joint', 'manner-means', 'elab-addition', 'evaluation', 'joint', 'bg-general', 'joint', 'enablement', 'joint', 'joint', 'elab-addition', 'contrast', 'evaluation', 'bg-goal', 'exp-reason', 'elab-addition']
preds:  ['enablement', 'y', 'joint ', 'e', 'e', 'en', 'e', 'b', 'g', 'b', 'e', 'e', 'e', 'e', 'e', 'e']  | target:  ['enablement', 'joint', 'joint', 'elab-addition', 'elab-aspect', 'enablement', 'elab-addition', 'bg-general', 'bg-general', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['e', 'evaluation', 'evaluation of', 'e', 'e', 'e', '&', 'enablement', 'lab-', 'e', 's', 'e', 'coe', 'e', 'e', 'e']  | target:  ['elab-enumember', 'evaluation', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'enablement', 'elab-addition', 'elab-aspect', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['e', 'e', 'e', 'b', 'e', 'e', 'e', 'e', 'GB', 'a', ',', '-', 'e', 'e', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'exp-evidence', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-goal', 'summary', 'progression', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-goal']
preds:  ['e', 'e', 'joint', 'e', 'e', 'enablement', 'e', 'joint joint', 'e', 'b', 'enablement', 'evaluation', 'joint joint', 'e', 'b', 'joints are']  | target:  ['elab-addition', 'elab-addition', 'joint', 'elab-enumember', 'elab-addition', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'enablement', 'evaluation', 'joint', 'elab-addition', 'bg-general', 'joint']
preds:  ['e', 'e', 'comparison of', 'b', 'comparisons', 'e', 'joint ', 'e', 'g', 'manner-', 'exp-', 'e', 'e', 'joint venture', 'co-', 'progression is']  | target:  ['elab-addition', 'elab-addition', 'comparison', 'bg-goal', 'comparison', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'manner-means', 'exp-reason', 'elab-aspect', 'elab-addition', 'joint', 'joint', 'progression']
preds:  ['has been', 'joint joint', 'e', 'e', 'e', 'exp-', 'o', 'a', 'a', 'a', 'e', 'enablement', 'manner-', 'Joints', 'joint ', 'enablement']  | target:  ['progression', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'exp-reason', 'attribution', 'result', 'evaluation', 'attribution', 'elab-addition', 'enablement', 'manner-means', 'joint', 'joint', 'enablement']
preds:  ['gemeinsame', '-', 'e', 'e', 'b', 'enablement', 'a', 'evaluation of', 'e', 'with the', 'e', 'joint', 'a', 'joint', 'enablement', 'e']  | target:  ['joint', 'manner-means', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'attribution', 'evaluation', 'elab-addition', 'contrast', 'elab-process_step', 'joint', 'elab-addition', 'joint', 'enablement', 'elab-addition']
preds:  ['joint venture', 'conjointe', 'e', 'e', ',', 'b', 'attribution', 'e', 'evaluation of', 'e', '-', 'e', 'joint is', 'b', 'e', 'a']  | target:  ['joint', 'joint', 'elab-addition', 'elab-addition', 'contrast', 'bg-general', 'attribution', 'elab-addition', 'evaluation', 'elab-addition', 'bg-general', 'elab-addition', 'joint', 'bg-general', 'elab-addition', 'attribution']
preds:  ['joint venture', 'enablement', 'joints ', 'joint ', '', 'joint or', 'e', 'enablement', 'b', 'e', 'joint', 'joint', 'enablement', 'Joint Joint', 'joint ', 'attribution']  | target:  ['joint', 'enablement', 'joint', 'joint', 'joint', 'joint', 'elab-addition', 'enablement', 'bg-general', 'elab-addition', 'joint', 'joint', 'enablement', 'joint', 'joint', 'attribution']
preds:  ['b', 'evaluation of', 'e', 'e', 'enablement', 'e', 'e', 'e', 'b', 'joint', 'enablement', 'e', 'e', 'b', 'joint', 'enablement']  | target:  ['bg-general', 'evaluation', 'elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'bg-general', 'joint', 'enablement']
preds:  ['e', 'attribution', 'joint', 'on ', 'e', 'e', 'manner-', 'e', 'evaluations', 'enablement', 'manners', 'e', 'enablement', '-', 'result in', 'g']  | target:  ['elab-addition', 'attribution', 'joint', 'joint', 'elab-addition', 'elab-addition', 'manner-means', 'elab-addition', 'evaluation', 'enablement', 'manner-means', 'elab-addition', 'enablement', 'joint', 'result', 'bg-general']
preds:  ['co-', 'e', 'e', 'b', 'e', '', 'joint-', 'e', 'e', 'a', 'joint ', 'is ', 'e', 'equals', 'e', 'b']  | target:  ['joint', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'joint', 'joint', 'elab-addition', 'elab-addition', 'summary', 'joint', 'attribution', 'elab-addition', 'attribution', 'elab-addition', 'bg-goal']
preds:  ['joint', 'attribution', 'result', 'e', 'exp-', 'e', '', 'joint', '-', ',', 'fis', 'e', 'a', '-', 'b', 'e']  | target:  ['joint', 'attribution', 'result', 'elab-addition', 'exp-reason', 'elab-addition', 'joint', 'joint', 'manner-means', 'contrast', 'joint', 'elab-addition', 'enablement', 'bg-general', 'bg-general', 'elab-addition']
