doc	unit1_toks	unit2_toks	unit1_txt	unit2_txt	perplexity_score	original_unit1_txt	original_unit2_txt	sentiment_score_1	sentiment_score_2	sentiment_graded_agreement	sentiment_agreement	s1_toks	s2_toks	unit1_sent	unit2_sent	dir	nuc_children	sat_children	genre	u1_discontinuous	u2_discontinuous	u1_issent	u2_issent	u1_length	u2_length	length_ratio	u1_speaker	u2_speaker	same_speaker	u1_func	u1_pos	u1_depdir	u2_func	u2_pos	u2_depdir	doclen	u1_position	u2_position	percent_distance	distance	lex_overlap_words	lex_overlap_length	unit1_case	unit2_case	label
maz-18160	37-45	46-58	Ein Alarmsignal für Schönbohm müsste es jedenfalls sein ,	wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet	398.7740936279297	Ein Alarmsignal für Schönbohm müsste es jedenfalls sein ,	wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet	neutral	neutral	StrongAgree	Agree	37-82	37-82	Ein Alarmsignal für Schönbohm müsste es jedenfalls sein , wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet und ein CDU-Stadtverordneter gar mit seinem sofortigen Austritt aus der Christlich Demokratischen Union droht , weil für ihn demokratische Spielregeln eklatant verletzt wurden .	Ein Alarmsignal für Schönbohm müsste es jedenfalls sein , wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet und ein CDU-Stadtverordneter gar mit seinem sofortigen Austritt aus der Christlich Demokratischen Union droht , weil für ihn demokratische Spielregeln eklatant verletzt wurden .	1>2	5	0	news	False	False	False	False	9	13	0.692	none	none	True	root	ADV	ROOT	advcl	VVFIN	LEFT	189	0.196	0.243	0.048	1	_	0	cap_initial	other	interpretation
maz-8361	78-88	89-108	sondern will mit seinem Alleingang Bayerns Ministerpräsidenten Edmund Stoiber entlasten ,	auf den in der Unionsfraktion der Druck immer stärker wird , bald seinen Anspruch auf die Kanzlerkandidatur zu erklären .	400.11893463134766	sondern will mit seinem Alleingang Bayerns Ministerpräsidenten Edmund Stoiber entlasten ,	auf den in der Unionsfraktion der Druck immer stärker wird , bald seinen Anspruch auf die Kanzlerkandidatur zu erklären .	neutral	neutral	StrongAgree	Agree	66-108	66-108	Glos setzt bei allem Respekt nicht ernsthaft auf einen Kanzlerkandidaten Schäuble , sondern will mit seinem Alleingang Bayerns Ministerpräsidenten Edmund Stoiber entlasten , auf den in der Unionsfraktion der Druck immer stärker wird , bald seinen Anspruch auf die Kanzlerkandidatur zu erklären .	Glos setzt bei allem Respekt nicht ernsthaft auf einen Kanzlerkandidaten Schäuble , sondern will mit seinem Alleingang Bayerns Ministerpräsidenten Edmund Stoiber entlasten , auf den in der Unionsfraktion der Druck immer stärker wird , bald seinen Anspruch auf die Kanzlerkandidatur zu erklären .	1<2	6	0	news	False	False	False	False	11	20	0.55	none	none	True	conj	VVINF	LEFT	acl	ADJD	LEFT	189	0.413	0.471	0.058	1	_	0	other	other	e-elaboration
maz-18914	30-38	46-59	Mag sein , das ihr Konzept nicht aufging .	Nur - es gab ja Zeiten , da verkaufte sich das sehr gut .	400.4403305053711	Mag sein , das ihr Konzept nicht aufging .	Nur - es gab ja Zeiten , da verkaufte sich das sehr gut .	neutral	negative	Agree	Disagree	30-38	46-59	Mag sein , das ihr Konzept nicht aufging .	Nur - es gab ja Zeiten , da verkaufte sich das sehr gut .	1<2	2	0	news	False	False	True	True	9	14	0.643	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	210	0.143	0.219	0.076	2	_	0	cap_initial	cap_initial	contrast
maz-14384	73-87	88-96	" Früher als Jungs und mit der Clique sind wir oft ins Hainholz gegangen .	Das war damals für die Jugend selbstverständlich . "	400.4571990966797	" Früher als Jungs und mit der Clique sind wir oft ins Hainholz gegangen .	Das war damals für die Jugend selbstverständlich . "	neutral	neutral	StrongAgree	Agree	73-87	88-96	" Früher als Jungs und mit der Clique sind wir oft ins Hainholz gegangen .	Das war damals für die Jugend selbstverständlich . "	1<2	2	0	news	False	False	True	True	15	9	1.667	none	none	True	root	VVPP	ROOT	root	ADJD	ROOT	212	0.344	0.415	0.071	1	"	1	other	cap_initial	elaboration
maz-14792	22-26	114-125	der ist ein Nestbeschmutzer .	dann müssen Konzepte zur Landesgartenschau jetzt mit nachvollziehbaren Zahlen untersetzt werden .	400.88519287109375	der ist ein Nestbeschmutzer .	dann müssen Konzepte zur Landesgartenschau jetzt mit nachvollziehbaren Zahlen untersetzt werden .	negative	neutral	Agree	Disagree	13-26	109-125	Wer sich kritisch zur Finanzierung der Landesgartenschau äußert , der ist ein Nestbeschmutzer .	Wenn das so ist , dann müssen Konzepte zur Landesgartenschau jetzt mit nachvollziehbaren Zahlen untersetzt werden .	1>2	4	4	news	False	False	False	False	5	12	0.417	none	none	True	root	NN	ROOT	root	VVPP	ROOT	186	0.118	0.613	0.495	8	_	0	title	other	background
maz-14172	4-9	22-34	Dietmar Zigan ist ein Glückspilz -	Nicht nur , dass SPD-Mann Zigan seine Wiederwahl schon hinter sich hat :	401.2018013000488	Dietmar Zigan ist ein Glückspilz -	Nicht nur , dass SPD-Mann Zigan seine Wiederwahl schon hinter sich hat :	neutral	neutral	StrongAgree	Agree	4-21	22-34	Dietmar Zigan ist ein Glückspilz - zumindest im Vergleich zu seinem Wittenberger Amts- und Parteikollegen Klaus Petry .	Nicht nur , dass SPD-Mann Zigan seine Wiederwahl schon hinter sich hat :	1<2	2	2	news	False	False	False	True	6	13	0.462	none	none	True	root	NN	ROOT	root	ADV	ROOT	198	0.02	0.111	0.091	2	Zigan	1	cap_initial	cap_initial	reason
maz-14841	79-86	117-128	Die Gasversorgung Zehdenick wird den Erdgaspreis senken .	Die Stadtwerke haben aber auf den Preis ausschließlich die Ökosteuererhöhung umgelegt .	401.24993896484375	Die Gasversorgung Zehdenick wird den Erdgaspreis senken .	Die Stadtwerke haben aber auf den Preis ausschließlich die Ökosteuererhöhung umgelegt .	neutral	neutral	StrongAgree	Agree	79-86	117-128	Die Gasversorgung Zehdenick wird den Erdgaspreis senken .	Die Stadtwerke haben aber auf den Preis ausschließlich die Ökosteuererhöhung umgelegt .	1<2	5	2	news	False	False	True	True	8	12	0.667	none	none	True	root	VVINF	ROOT	root	VVPP	ROOT	179	0.441	0.654	0.212	3	Die	1	cap_initial	cap_initial	joint
maz-18160	83-102	103-121	Durchaus brisant wird die Situation für den Parteivorsitzenden auch dadurch , dass er gleich zwei CDU-Bürgermeister gegen sich aufgebracht hat	und damit dort Ansehen und Rückhalt verlieren wird , wo sie mit Sicherheit jede Partei bitter nötig hat -	401.437198638916	Durchaus brisant wird die Situation für den Parteivorsitzenden auch dadurch , dass er gleich zwei CDU-Bürgermeister gegen sich aufgebracht hat	und damit dort Ansehen und Rückhalt verlieren wird , wo sie mit Sicherheit jede Partei bitter nötig hat -	neutral	neutral	StrongAgree	Agree	83-126	83-126	Durchaus brisant wird die Situation für den Parteivorsitzenden auch dadurch , dass er gleich zwei CDU-Bürgermeister gegen sich aufgebracht hat und damit dort Ansehen und Rückhalt verlieren wird , wo sie mit Sicherheit jede Partei bitter nötig hat - nämlich an der Basis .	Durchaus brisant wird die Situation für den Parteivorsitzenden auch dadurch , dass er gleich zwei CDU-Bürgermeister gegen sich aufgebracht hat und damit dort Ansehen und Rückhalt verlieren wird , wo sie mit Sicherheit jede Partei bitter nötig hat - nämlich an der Basis .	1>2	2	0	news	False	False	False	False	20	19	1.053	none	none	True	root	ADJD	ROOT	conj	VVINF	LEFT	189	0.439	0.545	0.106	1	_	0	cap_initial	other	cause
maz-13758	36-42	43-55	Deshalb blieben auch kaum Fragen offen ,	zumindest nicht solche , die die Gestaltung der beiden Jüterboger Ortsteile betrifft .	402.3305206298828	Deshalb blieben auch kaum Fragen offen ,	zumindest nicht solche , die die Gestaltung der beiden Jüterboger Ortsteile betrifft .	neutral	neutral	StrongAgree	Agree	36-55	36-55	Deshalb blieben auch kaum Fragen offen , zumindest nicht solche , die die Gestaltung der beiden Jüterboger Ortsteile betrifft .	Deshalb blieben auch kaum Fragen offen , zumindest nicht solche , die die Gestaltung der beiden Jüterboger Ortsteile betrifft .	1<2	2	0	news	False	False	False	False	7	13	0.538	none	none	True	root	VVFIN	ROOT	appos	PIS	LEFT	198	0.182	0.217	0.035	1	_	0	cap_initial	other	e-elaboration
maz-17254	84-100	101-113	Schuld daran ist die rigorose Absage des Landes , Götz wesentliche Mittel zur Entschuldung zu geben .	Angesichts der eigenen Haushaltsnot der Landesregierung dürfte es bei dieser Absage bleiben .	402.44410705566406	Schuld daran ist die rigorose Absage des Landes , Götz wesentliche Mittel zur Entschuldung zu geben .	Angesichts der eigenen Haushaltsnot der Landesregierung dürfte es bei dieser Absage bleiben .	neutral	neutral	StrongAgree	Agree	84-100	101-113	Schuld daran ist die rigorose Absage des Landes , Götz wesentliche Mittel zur Entschuldung zu geben .	Angesichts der eigenen Haushaltsnot der Landesregierung dürfte es bei dieser Absage bleiben .	1<2	1	0	news	False	False	True	True	17	13	1.308	none	none	True	root	ADJD	ROOT	root	VVINF	ROOT	185	0.454	0.546	0.092	1	Absage	1	cap_initial	cap_initial	interpretation
maz-3073	26-38	65-71	In der Erntezeit wird eben jede Schönwetterstunde bis zur letzten Minute ausgenutzt .	zeigen sich die Landwirte nicht unzufrieden .	403.0800018310547	In der Erntezeit wird eben jede Schönwetterstunde bis zur letzten Minute ausgenutzt .	zeigen sich die Landwirte nicht unzufrieden .	neutral	neutral	StrongAgree	Agree	26-38	55-71	In der Erntezeit wird eben jede Schönwetterstunde bis zur letzten Minute ausgenutzt .	Und auch , wenn nicht alle Blütenträume gereift sind , zeigen sich die Landwirte nicht unzufrieden .	1<2	3	2	news	False	False	True	False	13	7	1.857	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	226	0.115	0.288	0.173	3	_	0	cap_initial	other	evaluation-s
maz-14047	93-105	106-116	Will der Kreistag auch in Rathenow seinen Einfluss auf die Krankenhausentwicklung behalten ,	wird er sich kaum für einen Freien Träger entscheiden können .	404.06175231933594	Will der Kreistag auch in Rathenow seinen Einfluss auf die Krankenhausentwicklung behalten ,	wird er sich kaum für einen Freien Träger entscheiden können .	neutral	neutral	StrongAgree	Agree	93-116	93-116	Will der Kreistag auch in Rathenow seinen Einfluss auf die Krankenhausentwicklung behalten , wird er sich kaum für einen Freien Träger entscheiden können .	Will der Kreistag auch in Rathenow seinen Einfluss auf die Krankenhausentwicklung behalten , wird er sich kaum für einen Freien Träger entscheiden können .	1>2	1	0	news	False	False	False	False	13	11	1.182	none	none	True	advcl	VVINF	RIGHT	root	VVINF	ROOT	177	0.525	0.599	0.073	1	_	0	cap_initial	other	condition
maz-10205	3-22	23-27	Unter den namhaften deutschen Schriftstellern , die von Gerhard Schröder am Samstagabend empfangen wurden , war kein faltenloses Gesicht .	Das ist kein Zufall ,	404.5758056640625	Unter den namhaften deutschen Schriftstellern , die von Gerhard Schröder am Samstagabend empfangen wurden , war kein faltenloses Gesicht .	Das ist kein Zufall ,	neutral	neutral	StrongAgree	Agree	3-22	23-39	Unter den namhaften deutschen Schriftstellern , die von Gerhard Schröder am Samstagabend empfangen wurden , war kein faltenloses Gesicht .	Das ist kein Zufall , nervt doch die meisten jüngeren Autoren die ewige Besserwisserei der Altgedienten .	1<2	2	1	news	False	False	True	False	20	5	4.0	none	none	True	root	NN	ROOT	root	NN	ROOT	181	0.017	0.127	0.11	1	_	0	cap_initial	title	interpretation
maz-10503	117-126	170-183	Sie hatten die Rechnung ohne SPD-Mann Kurt Kreisel gemacht ,	Und nun erklärt das Rechtsamt , dass der Ausschuss geschlossen zu tagen habe .	404.7374954223633	Sie hatten die Rechnung ohne SPD-Mann Kurt Kreisel gemacht ,	Und nun erklärt das Rechtsamt , dass der Ausschuss geschlossen zu tagen habe .	neutral	neutral	StrongAgree	Agree	117-143	170-183	Sie hatten die Rechnung ohne SPD-Mann Kurt Kreisel gemacht , der gegen das Gremium schoss und zumindest erreichte , dass der Ausschuss nach Proporz besetzt wird .	Und nun erklärt das Rechtsamt , dass der Ausschuss geschlossen zu tagen habe .	1<2	6	1	news	False	False	False	True	10	14	0.714	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	197	0.594	0.863	0.269	7	_	0	title	cap_initial	joint
maz-18454	69-81	101-109	Der Verein Brandenburger Vorstadt plädiert für ein Fest von Bürgern für Bürger .	Der Aktionskreis um Martin Zühlke zieht die Grenzen lockerer	404.8997344970703	Der Verein Brandenburger Vorstadt plädiert für ein Fest von Bürgern für Bürger .	Der Aktionskreis um Martin Zühlke zieht die Grenzen lockerer	neutral	neutral	StrongAgree	Agree	69-81	101-115	Der Verein Brandenburger Vorstadt plädiert für ein Fest von Bürgern für Bürger .	Der Aktionskreis um Martin Zühlke zieht die Grenzen lockerer und votiert für jährliche Termine .	1<2	4	1	news	False	False	True	False	13	9	1.444	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	224	0.308	0.451	0.143	3	Der	1	cap_initial	cap_initial	contrast
maz-10207	150-161	162-171	Gleichwohl hat auch Zigan sich acht weitere Jahre im Amt gesichert ,	die er nach eigenem Bekunden auch voll erfüllen will .	406.15174865722656	Gleichwohl hat auch Zigan sich acht weitere Jahre im Amt gesichert ,	die er nach eigenem Bekunden auch voll erfüllen will .	neutral	neutral	StrongAgree	Agree	150-171	150-171	Gleichwohl hat auch Zigan sich acht weitere Jahre im Amt gesichert , die er nach eigenem Bekunden auch voll erfüllen will .	Gleichwohl hat auch Zigan sich acht weitere Jahre im Amt gesichert , die er nach eigenem Bekunden auch voll erfüllen will .	1<2	1	0	news	False	False	False	False	12	10	1.2	none	none	True	root	VVPP	ROOT	acl	VVINF	LEFT	192	0.781	0.844	0.062	1	_	0	cap_initial	other	interpretation
maz-18480	86-101	118-122	An die Stelle von " die da oben müssten mal ... " ist Eigeninitiative getreten .	Das ist gut so .	406.62203216552734	An die Stelle von " die da oben müssten mal ... " ist Eigeninitiative getreten .	Das ist gut so .	neutral	positive	Agree	Disagree	86-101	118-122	An die Stelle von " die da oben müssten mal ... " ist Eigeninitiative getreten .	Das ist gut so .	1<2	2	0	news	False	False	True	True	16	5	3.2	none	none	True	root	VVPP	ROOT	root	ADV	ROOT	192	0.448	0.615	0.167	2	_	0	cap_initial	title	evaluation-s
maz-14071	13-22	39-45	Derzeit will jeder Fachausschuss die eigenen finanziellen Interessen sichern -	Andererseits muss der Haushalt ausgeglichen sein .	406.9579315185547	Derzeit will jeder Fachausschuss die eigenen finanziellen Interessen sichern -	Andererseits muss der Haushalt ausgeglichen sein .	neutral	neutral	StrongAgree	Agree	13-38	39-45	Derzeit will jeder Fachausschuss die eigenen finanziellen Interessen sichern - zum Beispiel Eigenmittel für Investitionen oder Zuschüsse für Betriebs- und Unterhaltskosten von Einrichtungen freier Träger .	Andererseits muss der Haushalt ausgeglichen sein .	1<2	4	0	news	False	False	False	True	10	7	1.429	none	none	True	root	VVINF	ROOT	root	VVPP	ROOT	180	0.072	0.217	0.144	3	_	0	cap_initial	cap_initial	contrast
maz-16177	40-48	86-95	Die Ergebnisse waren bislang in der Tat dürftig .	Der jüngst geplatzte Termin geht jedoch auf das Gewerkschaftskonto .	407.6919860839844	Die Ergebnisse waren bislang in der Tat dürftig .	Der jüngst geplatzte Termin geht jedoch auf das Gewerkschaftskonto .	neutral	neutral	StrongAgree	Agree	40-48	86-95	Die Ergebnisse waren bislang in der Tat dürftig .	Der jüngst geplatzte Termin geht jedoch auf das Gewerkschaftskonto .	1>2	4	2	news	False	False	True	True	9	10	0.9	none	none	True	root	ADJD	ROOT	root	VVFIN	ROOT	170	0.235	0.506	0.271	4	_	0	cap_initial	cap_initial	concession
maz-10902	93-109	121-130	Deshalb ist die Diskussion , die ein Eltern-Stammtisch des Jahn-Gymnasiums jetzt gemeinsam mit PIRA angestoßen hat bemerkenswert	Erstmals wird versucht , das Problem offensiv zu bewerten .	408.235107421875	Deshalb ist die Diskussion , die ein Eltern-Stammtisch des Jahn-Gymnasiums jetzt gemeinsam mit PIRA angestoßen hat bemerkenswert	Erstmals wird versucht , das Problem offensiv zu bewerten .	neutral	neutral	StrongAgree	Agree	93-120	121-130	Deshalb ist die Diskussion , die ein Eltern-Stammtisch des Jahn-Gymnasiums jetzt gemeinsam mit PIRA angestoßen hat bemerkenswert und deutlich höher zu bewerten , als eine kleine Randnotiz .	Erstmals wird versucht , das Problem offensiv zu bewerten .	1<2	4	1	news	False	False	False	True	17	10	1.7	none	none	True	advmod	PROAV	RIGHT	root	VVPP	ROOT	192	0.484	0.63	0.146	2	_	0	cap_initial	cap_initial	reason
maz-9891	2-8	9-19	Manchmal sind die Zehdenicker zähe Brocken .	Jetzt wollen sich die Stadtverordneten sogar mit der Denkmalpflege anlegen .	408.3780059814453	Manchmal sind die Zehdenicker zähe Brocken .	Jetzt wollen sich die Stadtverordneten sogar mit der Denkmalpflege anlegen .	neutral	neutral	StrongAgree	Agree	2-8	9-19	Manchmal sind die Zehdenicker zähe Brocken .	Jetzt wollen sich die Stadtverordneten sogar mit der Denkmalpflege anlegen .	1>2	1	0	news	False	False	True	True	7	11	0.636	none	none	True	root	NN	ROOT	root	VVINF	ROOT	187	0.011	0.048	0.037	1	_	0	cap_initial	cap_initial	circumstance
maz-11670	115-122	143-158	In Afghanistan sterben Frauen und alte Männer .	Alle , die Krieg für notwendig halten , nehmen auch diese unschuldigen Opfer in Kauf .	408.4852752685547	In Afghanistan sterben Frauen und alte Männer .	Alle , die Krieg für notwendig halten , nehmen auch diese unschuldigen Opfer in Kauf .	neutral	neutral	StrongAgree	Agree	115-122	143-158	In Afghanistan sterben Frauen und alte Männer .	Alle , die Krieg für notwendig halten , nehmen auch diese unschuldigen Opfer in Kauf .	1<2	2	0	news	False	False	True	True	8	16	0.5	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	193	0.596	0.741	0.145	3	_	0	cap_initial	cap_initial	interpretation
maz-8838	63-72	73-80	Wohin dann mit den vom Urlaub übrig gebliebenen Münzen ,	die bald sowieso nichts mehr wert sind ?	408.565673828125	Wohin dann mit den vom Urlaub übrig gebliebenen Münzen ,	die bald sowieso nichts mehr wert sind ?	negative	negative	StrongAgree	Agree	63-80	63-80	Wohin dann mit den vom Urlaub übrig gebliebenen Münzen , die bald sowieso nichts mehr wert sind ?	Wohin dann mit den vom Urlaub übrig gebliebenen Münzen , die bald sowieso nichts mehr wert sind ?	1<2	3	0	news	False	False	False	False	10	8	1.25	none	none	True	root	NN	ROOT	acl	ADJD	LEFT	190	0.332	0.384	0.053	1	_	0	cap_initial	other	e-elaboration
maz-15347	131-137	152-160	sondern auch um Vertrauen und Nähe .	Aber er muss wieder von ganz vorn anfangen .	408.6465759277344	sondern auch um Vertrauen und Nähe .	Aber er muss wieder von ganz vorn anfangen .	neutral	neutral	StrongAgree	Agree	119-137	152-160	Schließlich geht es dann nicht einfach um das Erledigen von Arbeiten , sondern auch um Vertrauen und Nähe .	Aber er muss wieder von ganz vorn anfangen .	1<2	2	2	news	False	False	False	True	7	9	0.778	none	none	True	conj	NN	LEFT	root	VVINF	ROOT	204	0.642	0.745	0.103	2	_	0	title	cap_initial	joint
maz-17664	72-86	87-92	Ob noch mal neue eingetütet nachkommen , wusste kein Bänker so genau zu sagen .	Ist ja eigentlich auch egal .	408.8639678955078	Ob noch mal neue eingetütet nachkommen , wusste kein Bänker so genau zu sagen .	Ist ja eigentlich auch egal .	neutral	negative	Agree	Disagree	72-86	87-92	Ob noch mal neue eingetütet nachkommen , wusste kein Bänker so genau zu sagen .	Ist ja eigentlich auch egal .	1<2	1	0	news	False	False	True	True	15	6	2.5	none	none	True	root	VVFIN	ROOT	root	ADV	ROOT	203	0.355	0.429	0.074	1	_	0	cap_initial	cap_initial	interpretation
maz-9538	120-133	134-148	Margarete Vierjahn hingegen hat zwar ohne Zweifel die Qualifikation für die höhere Verwaltungstätigkeit .	Wofür sie aber letztlich steht , ist zumindest öffentlich noch nicht ganz klar geworden .	408.8900604248047	Margarete Vierjahn hingegen hat zwar ohne Zweifel die Qualifikation für die höhere Verwaltungstätigkeit .	Wofür sie aber letztlich steht , ist zumindest öffentlich noch nicht ganz klar geworden .	neutral	neutral	StrongAgree	Agree	120-133	134-148	Margarete Vierjahn hingegen hat zwar ohne Zweifel die Qualifikation für die höhere Verwaltungstätigkeit .	Wofür sie aber letztlich steht , ist zumindest öffentlich noch nicht ganz klar geworden .	1>2	1	0	news	False	False	True	True	14	15	0.933	none	none	True	root	VAFIN	ROOT	root	ADJD	ROOT	195	0.615	0.687	0.072	1	_	0	cap_initial	cap_initial	concession
maz-11766	57-67	87-96	Bosse hatte empfohlen , auf den teuren Theaterneubau zu verzichten .	Also bekannte man sich lieber einmütig zu dem Vorhaben .	409.12001037597656	Bosse hatte empfohlen , auf den teuren Theaterneubau zu verzichten .	Also bekannte man sich lieber einmütig zu dem Vorhaben .	neutral	neutral	StrongAgree	Agree	57-67	87-96	Bosse hatte empfohlen , auf den teuren Theaterneubau zu verzichten .	Also bekannte man sich lieber einmütig zu dem Vorhaben .	1>2	2	0	news	False	False	True	True	11	10	1.1	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	188	0.303	0.463	0.16	2	_	0	cap_initial	cap_initial	antithesis
maz-18914	2-14	72-84	Mit Helga Kaden streicht eine der namhaftesten Geschäftsleute der Stadt die Segel .	Ausgerechnet in der schönen Weihnachtszeit offenbart sich das Elend des innerstädtischen Einzelhandels .	409.5109558105469	Mit Helga Kaden streicht eine der namhaftesten Geschäftsleute der Stadt die Segel .	Ausgerechnet in der schönen Weihnachtszeit offenbart sich das Elend des innerstädtischen Einzelhandels .	neutral	neutral	StrongAgree	Agree	2-14	72-84	Mit Helga Kaden streicht eine der namhaftesten Geschäftsleute der Stadt die Segel .	Ausgerechnet in der schönen Weihnachtszeit offenbart sich das Elend des innerstädtischen Einzelhandels .	1>2	4	2	news	False	False	True	True	13	13	1.0	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	210	0.01	0.343	0.333	6	_	0	cap_initial	cap_initial	circumstance
maz-9884	98-105	140-149	Und das ist das Dilemma der Regierenden .	hat kein Recht , den Kritikern ihr Gewissen abzusprechen .	409.5722122192383	Und das ist das Dilemma der Regierenden .	hat kein Recht , den Kritikern ihr Gewissen abzusprechen .	neutral	neutral	StrongAgree	Agree	98-105	106-149	Und das ist das Dilemma der Regierenden .	Wer in der Zeit , da er noch nach Ämtern strebte , mit eben denselben Argumenten , die heute aus dem pazifistischen Lager der Regierung entgegenschallen , Kohl , Genscher und Kinkel verteufelte , hat kein Recht , den Kritikern ihr Gewissen abzusprechen .	1<2	1	1	news	False	False	True	False	8	10	0.8	none	none	True	root	NN	ROOT	root	NN	ROOT	246	0.398	0.569	0.171	2	_	0	title	other	elaboration
maz-16250	122-137	162-177	Zwei Wochen mit Halbpension unter einer Autobahnbrücke , neben einem Flugplatz , inmitten einer Techno-Disko ?	Die werden nicht wegen spektakulärer Tiefflüge an den Ruppiner See oder zum Rheinsberger Schloss strömen .	410.42665100097656	Zwei Wochen mit Halbpension unter einer Autobahnbrücke , neben einem Flugplatz , inmitten einer Techno-Disko ?	Die werden nicht wegen spektakulärer Tiefflüge an den Ruppiner See oder zum Rheinsberger Schloss strömen .	negative	neutral	Agree	Disagree	122-137	162-177	Zwei Wochen mit Halbpension unter einer Autobahnbrücke , neben einem Flugplatz , inmitten einer Techno-Disko ?	Die werden nicht wegen spektakulärer Tiefflüge an den Ruppiner See oder zum Rheinsberger Schloss strömen .	1<2	3	0	news	False	False	True	True	16	16	1.0	none	none	True	root	NN	ROOT	root	VVINF	ROOT	200	0.61	0.81	0.2	3	_	0	cap_initial	cap_initial	joint
maz-17706	108-113	114-118	Das ist eine zwiespältige Entscheidung .	Einerseits ist es vernünftig .	410.5170478820801	Das ist eine zwiespältige Entscheidung .	Einerseits ist es vernünftig .	neutral	neutral	StrongAgree	Agree	108-113	114-118	Das ist eine zwiespältige Entscheidung .	Einerseits ist es vernünftig .	1<2	4	2	news	False	False	True	True	6	5	1.2	none	none	True	root	NN	ROOT	root	ADJD	ROOT	208	0.519	0.548	0.029	1	_	0	cap_initial	cap_initial	reason
maz-16360	11-19	20-35	sollen sich die Bewohner mit Knatterkrapfen gestärkt haben .	Der Kyritzer Bäckermeister Thomas Haupt brachte gestern zum Spezialitätenwettbewerb der Prignitzer Bäcker-Innung eine Tafel mit ,	411.1802520751953	sollen sich die Bewohner mit Knatterkrapfen gestärkt haben .	Der Kyritzer Bäckermeister Thomas Haupt brachte gestern zum Spezialitätenwettbewerb der Prignitzer Bäcker-Innung eine Tafel mit ,	neutral	neutral	StrongAgree	Agree	3-19	20-43	Als Raubritter Bassewitz die Kyritzer einst bedrängte , sollen sich die Bewohner mit Knatterkrapfen gestärkt haben .	Der Kyritzer Bäckermeister Thomas Haupt brachte gestern zum Spezialitätenwettbewerb der Prignitzer Bäcker-Innung eine Tafel mit , auf der von dieser Begebenheit berichtet wird .	1>2	5	1	news	False	False	False	False	9	16	0.562	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	186	0.059	0.108	0.048	1	_	0	other	cap_initial	background
maz-8509	46-62	115-134	In Nauen beispielsweise bleibt inzwischen jeder sechste der jährlich anfallenden 4000 Säcke an der Straße zurück ,	ist es nur noch eine Frage der Zeit , bis die Stadtväter die für den Bürger kostenlose Laubentsorgung einstellen .	411.1942367553711	In Nauen beispielsweise bleibt inzwischen jeder sechste der jährlich anfallenden 4000 Säcke an der Straße zurück ,	ist es nur noch eine Frage der Zeit , bis die Stadtväter die für den Bürger kostenlose Laubentsorgung einstellen .	neutral	neutral	StrongAgree	Agree	46-78	107-134	In Nauen beispielsweise bleibt inzwischen jeder sechste der jährlich anfallenden 4000 Säcke an der Straße zurück , weil er nicht mit Laub von Straßenbäumen , sondern mit Garten- oder Hausabfällen gefüllt ist .	Denn angesichts des zunehmenden Missbrauchs und leerer Kassen ist es nur noch eine Frage der Zeit , bis die Stadtväter die für den Bürger kostenlose Laubentsorgung einstellen .	1>2	4	4	news	False	False	False	False	17	20	0.85	none	none	True	root	VVFIN	ROOT	root	NN	ROOT	197	0.234	0.584	0.35	8	_	0	cap_initial	other	reason
maz-18480	86-101	102-117	An die Stelle von " die da oben müssten mal ... " ist Eigeninitiative getreten .	Selbst etwas anpacken und nicht auf Allmosen warten , scheint nun die Devise zu sein .	411.5843505859375	An die Stelle von " die da oben müssten mal ... " ist Eigeninitiative getreten .	Selbst etwas anpacken und nicht auf Allmosen warten , scheint nun die Devise zu sein .	neutral	neutral	StrongAgree	Agree	86-101	102-117	An die Stelle von " die da oben müssten mal ... " ist Eigeninitiative getreten .	Selbst etwas anpacken und nicht auf Allmosen warten , scheint nun die Devise zu sein .	1<2	2	0	news	False	False	True	True	16	16	1.0	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	192	0.448	0.531	0.083	1	_	0	cap_initial	cap_initial	restatement
